A1: 3 MB malloc, 13 MB malloc, -5 MB malloc, 18 MB malloc, 16 MB malloc, 0 MB malloc, 2 MB malloc, 19 MB malloc, 23 MB malloc, 6 MB malloc
A2: 25 MB malloc, 26 MB malloc, 26 MB malloc, 31 MB malloc, 29 MB malloc, 31 MB malloc, 33 MB malloc, 32 MB malloc, 36 MB malloc, 37 MB malloc
A3: 27 MB malloc, 28 MB malloc, 28 MB malloc, 33 MB malloc, 31 MB malloc, 33 MB malloc, 35 MB malloc, 34 MB malloc, 38 MB malloc, 39 MB malloc
A4: 8 MB malloc, 14 MB malloc, 4 MB malloc, 19 MB malloc, 17 MB malloc, 9 MB malloc, 11 MB malloc, 20 MB malloc, 24 MB malloc, 15 MB malloc
A5: 13 MB malloc, 22 MB malloc, 6 MB malloc, 27 MB malloc, 25 MB malloc, 11 MB malloc, 13 MB malloc, 28 MB malloc, 32 MB malloc, 17 MB malloc
A6: 26 MB malloc, 27 MB malloc, 27 MB malloc, 32 MB malloc, 30 MB malloc, 32 MB malloc, 34 MB malloc, 33 MB malloc, 37 MB malloc, 38 MB malloc
A7: 5 MB malloc, 6 MB malloc, 6 MB malloc, 11 MB malloc, 9 MB malloc, 11 MB malloc, 13 MB malloc, 12 MB malloc, 16 MB malloc, 17 MB malloc
A8: 26 MB malloc, 30 MB malloc, 24 MB malloc, 35 MB malloc, 33 MB malloc, 29 MB malloc, 31 MB malloc, 36 MB malloc, 40 MB malloc, 35 MB malloc
A9: 28 MB malloc, 33 MB malloc, 25 MB malloc, 38 MB malloc, 36 MB malloc, 30 MB malloc, 32 MB malloc, 39 MB malloc, 43 MB malloc, 36 MB malloc
A10: 6 MB malloc, 8 MB malloc, 6 MB malloc, 13 MB malloc, 11 MB malloc, 11 MB malloc, 13 MB malloc, 14 MB malloc, 18 MB malloc, 17 MB malloc
A11: 10 MB malloc, 16 MB malloc, 6 MB malloc, 21 MB malloc, 19 MB malloc, 11 MB malloc, 13 MB malloc, 22 MB malloc, 26 MB malloc, 17 MB malloc
A12: 7 MB malloc, 8 MB malloc, 8 MB malloc, 13 MB malloc, 11 MB malloc, 13 MB malloc, 15 MB malloc, 14 MB malloc, 18 MB malloc, 19 MB malloc
